year,affiliation,paper_count,region,country
2021,01.AI,1,Other/Unknown,Unknown
2021,"23andMe, Inc.",1,Other/Unknown,Unknown
2021,42dot,2,Other/Unknown,Unknown
2021,4Paradigm Inc.,1,Other/Unknown,Unknown
2021,AITRICS,3,Other/Unknown,Unknown
2021,AMU,1,Other/Unknown,Unknown
2021,ANU,1,Other/Unknown,Unknown
2021,Aalborg University,2,Europe,Denmark
2021,Aalto University,13,Europe,Finland
2021,Aarhus University,3,Europe,Denmark
2021,Abacus.AI,2,Other/Unknown,Unknown
2021,Academia Sinica,4,China,Taiwan
2021,Academy of Arts,1,Other/Unknown,Albania
2021,Académie de Paris,5,Europe,France
2021,Accenture,2,Other/Unknown,Unknown
2021,Adaptive ML,1,Other/Unknown,Unknown
2021,Adobe Research,14,United States,United States
2021,Agency for Science Technology and Research (A*STAR),15,Asia-Pacific (excl. China),Singapore
2021,Aicadium,1,Other/Unknown,Unknown
2021,Aithyra,3,Other/Unknown,Unknown
2021,Albert-Ludwigs-Universität Freiburg,4,Europe,Germany
2021,Alibaba Group,29,China,China
2021,Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,11,Europe,Germany
2021,Allen County Community College,2,United States,United States
2021,Allen Institute for AI,1,United States,United States
2021,Amazon,121,United States,United States
2021,American Graduate School in Paris,4,Europe,France
2021,Ant Group,5,China,China
2021,Anthropic,4,Other/Unknown,Unknown
2021,Anytime AI,3,Other/Unknown,Unknown
2021,Appier,1,Other/Unknown,Unknown
2021,Apple,24,United States,United States
2021,Archimedes/Athena RC,3,Other/Unknown,Unknown
2021,Argo AI,5,Other/Unknown,Unknown
2021,Aristotle University of Thessaloniki,2,Europe,Greece
2021,Arizona State University,5,United States,United States
2021,Arkansas Tech University,1,United States,United States
2021,Astar,1,Other/Unknown,Unknown
2021,AstraZeneca,1,Other/Unknown,Unknown
2021,Ataraxis.ai,1,Other/Unknown,Unknown
2021,Atharva College of Engineering,50,Asia-Pacific (excl. China),India
2021,Athens University of Economics and Business,1,Europe,Greece
2021,Auburn University,2,United States,United States
2021,Austin College,54,United States,United States
2021,Australian Correspondence Schools,1,Asia-Pacific (excl. China),Australia
2021,Australian National University,10,Asia-Pacific (excl. China),Australia
2021,Autodesk,2,Other/Unknown,Unknown
2021,BAAI,1,Other/Unknown,Unknown
2021,BBD,1,Other/Unknown,Unknown
2021,BNL,2,Other/Unknown,Unknown
2021,BOSS Zhipin,2,Other/Unknown,Unknown
2021,Baidu Research,12,China,China
2021,Bangalore University,1,Asia-Pacific (excl. China),India
2021,Bar-Ilan University,3,Middle East & Africa,Israel
2021,Bayero University Kano,2,Middle East & Africa,Nigeria
2021,Baylor College of Medicine,3,United States,United States
2021,Baylor University,1,United States,United States
2021,Beihang University,10,China,China
2021,Beijing Institute of Technology,5,China,China
2021,Beijing Jiaotong University,1,China,China
2021,Beijing University of Aeronautics and Astronautics,1,China,China
2021,Beijing University of Agriculture,3,China,China
2021,Beijing University of Chemical Technology,1,China,China
2021,Beijing University of Posts and Telecommunications,5,China,China
2021,Ben-Gurion University of the Negev,6,Middle East & Africa,Israel
2021,Bethel University,3,United States,United States
2021,Bhagwan Parshuram Institute of Technology,8,Asia-Pacific (excl. China),India
2021,Bharath Institue Of Higher Education & Research,9,Asia-Pacific (excl. China),India
2021,Bilkent University,2,Other/Unknown,Turkiye
2021,Bloomberg,3,Other/Unknown,Unknown
2021,Bocconi University,2,Europe,Italy
2021,Borealis AI,2,Other/Unknown,Unknown
2021,Bosch,2,Other/Unknown,Unknown
2021,Boston College,1,United States,United States
2021,Boston University,21,United States,United States
2021,Bowdoin College,1,United States,United States
2021,Boğaziçi University,3,Middle East & Africa,Turkey
2021,Brandeis University,2,United States,United States
2021,BriefCam Ltd,1,Other/Unknown,Unknown
2021,Brigham Young University,1,United States,United States
2021,Brown University,11,United States,United States
