raw_affiliation,canonical_affiliation,country,region,source,confidence
"State University of New York, Stony Brook",State University of New York at Stony Brook,United States,United States,university_dataset,0.9523809523809522
New York University,New York University,United States,United States,manual_substring,0.9
Google,Google,United States,United States,manual_substring,0.9
Stevens Institute of Technology,Stevens Institute of Technology,United States,United States,university_dataset,1.0
Amazon,Amazon,United States,United States,manual_substring,0.9
Google DeepMind,Google DeepMind,United Kingdom,Europe,manual_substring,0.9
DeepMind,Google DeepMind,United Kingdom,Europe,manual_substring,0.9
University of Manchester,University of Manchester,United Kingdom,Europe,manual_substring,0.9
KU Leuven,KU Leuven,Belgium,Europe,manual_substring,0.9
Mila - Quebec Artificial Intelligence Institute,Mila - Quebec AI Institute,Canada,Canada,manual_substring,0.9
Cyberagent,CyberAgent,Japan,Asia-Pacific (excl. China),manual_substring,0.9
Norwegian School of Economics,Norwegian School of Economics and Business Administration,Norway,Europe,university_dataset,0.9
University of Chicago,University of Chicago,United States,United States,manual_substring,0.9
Georgia Institute of Technology,Georgia Institute of Technology,United States,United States,university_dataset,1.0
Mohamed bin Zayed Univeristy of AI,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,Middle East & Africa,manual_substring,0.9
"College of Computing, Georgia Institute of Technology",Georgia Institute of Technology,United States,United States,university_dataset,0.9
Chinese Academy of Sciences,Chinese Academy of Sciences,China,China,manual_substring,0.9
Tencent America,Tencent,China,China,manual_substring,0.9
"Institute of Computing Technology, Chinese Academy of Sciences",Chinese Academy of Sciences,China,China,manual_substring,0.9
CtrsVision,CtrsVision,Unknown,Other/Unknown,unknown,0.0
Institute of Computing Technology of the Chinese Academy of Sciences,Chinese Academy of Sciences,China,China,manual_substring,0.9
Swiss Federal Institute of Technology Lausanne,Atharva College of Engineering,India,Asia-Pacific (excl. China),university_dataset,0.855
Flatiron Institute,Flatiron Institute,United States,United States,manual_substring,0.9
University of California Berkeley,"University of California, Berkeley",United States,United States,university_dataset,0.9850746268656717
"Optimizely, Inc.",Optimizely,United States,United States,manual_substring,0.9
Rutgers University,Rutgers University,United States,United States,university_dataset,1.0
University of Sydney,University of Sydney,Australia,Asia-Pacific (excl. China),manual_substring,0.9
International Business Machines,Globe University & Minnesota School of Business,United States,United States,university_dataset,0.855
Shanghai Jiaotong University,Shanghai Jiaotong University,China,China,university_dataset,1.0
Tsinghua University,Tsinghua University,China,China,university_dataset,1.0
NVIDIA,NVIDIA,United States,United States,manual_substring,0.9
NAVER,NAVER,South Korea,Asia-Pacific (excl. China),manual_substring,0.9
NAVER AI Lab,NAVER,South Korea,Asia-Pacific (excl. China),manual_substring,0.9
ChungAng University,Chung-Ang University,"Korea, Republic of",Other/Unknown,university_dataset,0.9743589743589743
Soongsil University,Soongsil University,"Korea, Republic of",Other/Unknown,university_dataset,1.0
Wrtn Technologies,Ecole pour l'Informatique et les nouvelles Technologies - Albania,Albania,Other/Unknown,university_dataset,0.855
University of Edinburgh,University of Edinburgh,United Kingdom,Europe,manual_substring,0.9
"School of Computer Science, Carnegie Mellon University",Carnegie Mellon University,United States,United States,university_dataset,0.9
Mohamed bin Zayed University of Artificial Intelligence,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),United Arab Emirates,Middle East & Africa,university_dataset,0.95
